Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
EMP0070,IT,37,1170000,9,43.9,86.8,Yes
EMP0071,Finance,37,910000,11,48.2,93.6,Yes
EMP0072,Operations,21,851000,10,48.4,72.1,Yes
EMP0073,Finance,31,991000,9,50.4,80.9,Yes
EMP0074,Marketing,37,911000,6,48.0,72.7,No
EMP0075,Sales,34,955000,3,38.5,68.0,No
EMP0076,Marketing,42,957000,4,39.8,64.8,No
EMP0077,Operations,21,889000,4,35.7,58.3,No
EMP0078,Marketing,29,846000,6,41.1,62.8,No
EMP0079,Sales,30,789000,7,45.4,84.2,No
EMP0080,Marketing,37,774000,4,49.5,84.6,Yes
EMP0081,HR,32,773000,2,42.7,58.8,No
EMP0082,Sales,25,944000,4,39.5,63.3,No
EMP0083,Marketing,32,869000,6,50.9,64.5,No
EMP0084,Sales,36,897000,7,40.1,81.6,Yes
EMP0085,Marketing,41,1113000,6,44.2,70.8,No
EMP0086,Sales,41,987000,6,36.8,62.6,No
EMP0087,IT,35,1122000,8,39.3,76.9,Yes
EMP0088,Sales,33,815000,4,43.7,63.5,No
EMP0089,Sales,38,1133000,11,50.9,86.8,Yes
EMP0090,Sales,31,915000,5,48.1,63.6,No
EMP0091,Marketing,44,1081000,14,50.9,96.4,Yes
EMP0092,Sales,33,1082000,6,49.4,72.6,No
EMP0093,Operations,29,761000,2,38.1,49.6,No
EMP0094,HR,38,861000,3,40.6,68.7,No
EMP0095,Finance,36,1066000,3,48.7,61.8,No
EMP0096,Operations,22,782000,7,39.1,67.4,No
EMP0097,Operations,36,860000,4,46.0,66.8,No
EMP0098,Operations,40,979000,6,43.5,65.7,Yes
EMP0099,IT,22,997000,10,51.1,85.3,Yes
EMP0100,Sales,26,783000,3,39.8,57.1,No
EMP0101,IT,33,1042000,4,39.5,64.4,Yes
EMP0102,Operations,24,890000,6,42.4,75.1,No
EMP0103,IT,22,927000,3,41.7,65.4,No
EMP0104,Marketing,33,874000,5,46.0,66.1,Yes
EMP0105,Marketing,47,841000,8,41.2,86.2,Yes
EMP0106,IT,34,989000,6,41.9,76.7,No
EMP0107,Sales,31,871000,11,48.3,76.3,Yes
EMP0108,Finance,37,1115000,2,42.0,71.3,Yes
EMP0109,HR,31,663000,3,40.6,63.2,No
EMP0110,Operations,27,705000,12,47.7,73.2,Yes
EMP0111,Marketing,45,824000,8,45.5,73.2,No
EMP0112,Finance,29,820000,10,50.6,85.6,No
EMP0113,IT,42,1238000,11,46.6,93.3,Yes
EMP0114,IT,36,962000,7,35.8,66.5,No
EMP0115,IT,39,1140000,5,39.7,60.8,No
EMP0116,Sales,28,909000,4,44.5,62.0,No
EMP0117,HR,38,1008000,4,37.5,63.6,No
EMP0118,IT,34,967000,7,37.9,78.2,Yes
EMP0119,HR,27,775000,7,47.8,60.5,No
EMP0120,Sales,37,1002000,4,33.8,76.7,No
EMP0121,Sales,45,928000,5,40.0,86.7,Yes
EMP0122,HR,48,934000,1,41.9,76.8,No
EMP0123,Marketing,29,737000,6,43.2,61.8,No
EMP0124,Marketing,37,871000,5,39.4,73.1,No
EMP0125,Sales,32,973000,9,44.0,69.0,Yes
EMP0126,Sales,26,940000,3,52.6,67.9,No
EMP0127,Operations,31,784000,2,47.5,67.1,No
EMP0128,Finance,21,1042000,4,45.5,71.3,Yes
EMP0129,HR,45,819000,5,38.6,59.7,No
EMP0130,HR,48,995000,5,42.7,77.3,No
EMP0131,IT,28,834000,5,46.5,64.1,No
EMP0132,Operations,28,963000,5,45.3,89.9,Yes
EMP0133,Finance,33,1000000,7,52.9,79.1,Yes
EMP0134,Marketing,30,934000,6,43.3,75.9,No
EMP0135,Operations,31,863000,9,49.5,81.8,Yes
EMP0136,Marketing,44,1072000,3,48.0,79.2,No
EMP0137,Finance,42,1059000,5,45.3,57.7,Yes
EMP0138,IT,28,1050000,6,48.8,73.1,Yes
EMP0139,Finance,38,1053000,5,44.2,84.1,Yes
EMP0140,Operations,29,918000,4,42.3,58.8,No
EMP0141,Finance,39,1103000,2,43.3,54.2,No
EMP0142,Sales,41,940000,5,41.8,79.0,No
EMP0143,Finance,22,1006000,4,36.0,72.1,Yes
EMP0144,Marketing,21,866000,8,46.2,67.3,No
EMP0145,Marketing,29,897000,7,43.2,54.4,No
EMP0146,HR,32,898000,3,37.5,67.0,No
EMP0147,Finance,47,1136000,7,44.0,68.4,No
EMP0148,HR,31,776000,8,32.8,56.1,No
EMP0149,IT,33,848000,6,45.0,58.2,No
EMP0150,Marketing,48,1101000,6,37.5,69.9,No
EMP0151,IT,38,1092000,9,37.2,74.6,Yes
EMP0152,Operations,31,1015000,6,36.3,64.8,No
EMP0153,Sales,29,872000,8,51.3,85.1,Yes
EMP0154,Sales,36,960000,7,42.0,80.2,No
EMP0155,Operations,38,950000,6,48.8,75.9,No
EMP0156,Sales,32,837000,3,44.3,61.4,No
EMP0157,Sales,23,955000,7,50.7,81.6,Yes
EMP0158,Finance,26,1061000,6,46.2,77.2,No
EMP0159,IT,33,1011000,10,49.6,94.2,Yes
EMP0160,Operations,28,774000,3,35.0,57.6,No
EMP0161,HR,29,814000,5,43.4,66.7,No
EMP0162,HR,28,890000,5,44.2,54.7,No
EMP0163,Finance,34,1067000,10,43.6,69.4,Yes
EMP0164,Marketing,31,999000,8,51.0,79.0,Yes
EMP0165,Marketing,43,923000,9,43.2,81.6,Yes
EMP0166,HR,32,890000,10,54.2,87.0,Yes
EMP0167,Finance,28,859000,7,52.5,83.7,No
EMP0168,IT,38,1091000,8,48.2,86.7,No
EMP0169,Operations,42,869000,7,41.5,83.9,No
EMP0170,Marketing,33,998000,7,39.5,75.0,No
EMP0171,IT,31,988000,7,46.5,68.5,No
EMP0172,Operations,29,815000,6,41.4,78.7,No
EMP0173,Finance,38,1021000,3,41.7,62.3,No
EMP0174,Marketing,23,762000,9,46.4,71.5,No
EMP0175,IT,21,916000,2,39.2,57.7,Yes
EMP0176,HR,47,871000,6,41.2,82.3,No
EMP0177,Marketing,44,931000,9,51.7,80.7,Yes
EMP0178,HR,29,838000,5,42.4,61.6,No
EMP0179,Finance,43,1089000,4,50.5,79.5,No
EMP0180,Operations,30,892000,4,39.1,61.8,No
EMP0181,Operations,32,889000,5,42.4,65.2,No
EMP0182,IT,32,885000,3,46.4,64.0,No
EMP0183,Sales,37,1024000,9,47.1,79.6,Yes
EMP0184,Sales,45,1076000,7,38.7,77.7,Yes
EMP0185,IT,27,962000,9,46.2,83.4,Yes
EMP0186,IT,32,992000,4,36.3,57.2,No
EMP0187,Sales,38,942000,5,37.8,65.8,No
EMP0188,IT,33,975000,8,38.0,72.7,Yes
EMP0189,Finance,28,740000,11,43.2,71.7,No
EMP0190,Operations,35,808000,3,34.3,59.4,No
EMP0191,Operations,40,1070000,5,40.9,63.1,No
EMP0192,Sales,25,981000,15,48.3,84.1,No
EMP0193,IT,32,1089000,4,44.8,62.9,No
EMP0194,Operations,38,940000,8,50.6,78.5,Yes
EMP0195,IT,30,1066000,9,41.3,75.9,Yes
EMP0196,Finance,30,1066000,5,47.4,70.0,Yes
EMP0197,Sales,39,917000,5,40.7,71.2,No
EMP0198,Marketing,36,919000,5,37.8,58.4,No
EMP0199,Marketing,32,813000,5,40.6,65.1,No
EMP0200,HR,48,967000,6,51.7,87.1,No
EMP0201,Operations,36,1061000,6,49.4,79.4,Yes
EMP0202,Finance,44,1077000,15,51.1,98.7,Yes
EMP0203,Operations,29,887000,6,32.5,57.7,No
EMP0204,Marketing,21,722000,5,46.8,66.7,No
EMP0205,Operations,31,921000,6,44.2,66.9,No
EMP0206,Sales,45,947000,4,50.6,70.3,No
EMP0207,Operations,26,762000,12,46.3,59.1,Yes
EMP0208,Finance,28,949000,4,40.4,59.5,No
EMP0209,IT,25,1072000,7,52.4,74.9,Yes
EMP0210,Sales,40,874000,9,47.5,75.9,Yes
EMP0211,Marketing,26,631000,4,40.2,67.9,No
EMP0212,IT,44,1104000,5,34.5,81.2,No
EMP0213,Finance,31,1002000,8,44.0,74.8,No
EMP0214,IT,29,945000,8,42.3,77.2,Yes
EMP0215,Marketing,28,683000,6,40.6,64.9,No
EMP0216,Finance,32,925000,11,44.7,82.7,Yes
EMP0217,Finance,28,984000,1,36.6,62.6,No
EMP0218,Marketing,46,1052000,3,39.7,63.3,No
EMP0219,IT,30,1179000,8,43.3,84.6,Yes
EMP0220,Operations,21,759000,7,40.6,63.8,No
EMP0221,Finance,54,1248000,3,41.8,82.4,Yes
EMP0222,Finance,28,804000,8,45.1,75.6,No
EMP0223,Sales,35,862000,6,48.9,75.8,No
EMP0224,Operations,33,962000,12,50.6,80.7,Yes
EMP0225,IT,42,1061000,8,39.3,74.8,Yes
EMP0226,Marketing,34,934000,6,53.4,93.2,Yes
EMP0227,Finance,31,1007000,5,49.0,79.3,Yes
EMP0228,Operations,35,936000,7,45.1,77.3,No
EMP0229,Operations,35,887000,4,46.8,62.4,No
EMP0230,Marketing,32,849000,3,48.4,79.8,No
EMP0231,Operations,40,933000,8,46.9,69.8,No
EMP0232,Finance,26,871000,4,36.6,59.1,No
EMP0233,Operations,36,979000,10,44.2,75.0,Yes
EMP0234,Finance,36,968000,5,44.8,65.9,No
EMP0235,Finance,34,1145000,11,47.3,89.6,Yes
EMP0236,Marketing,33,1062000,11,45.9,93.3,Yes
EMP0237,Sales,25,950000,8,45.6,76.5,No
EMP0238,Finance,38,1171000,9,44.8,77.7,No
EMP0239,Sales,38,900000,8,40.9,78.7,No
EMP0240,Sales,31,881000,2,42.9,74.6,Yes
EMP0241,Sales,22,736000,7,47.4,81.0,No
EMP0242,Operations,35,906000,6,38.9,72.5,No
EMP0243,IT,21,1061000,6,43.1,58.9,No
EMP0244,Sales,24,1016000,7,43.7,60.0,No
EMP0245,Operations,21,773000,8,42.9,85.9,No
EMP0246,Operations,39,1054000,5,40.2,65.1,Yes
EMP0247,HR,32,823000,3,38.2,46.5,No
EMP0248,HR,31,881000,4,45.9,76.0,No
EMP0249,Operations,21,716000,10,42.7,70.2,No
EMP0250,Finance,41,1020000,3,37.7,70.8,Yes
EMP0251,IT,26,1011000,12,46.6,83.0,Yes
EMP0252,IT,41,1133000,9,41.8,81.0,Yes
EMP0253,Sales,41,892000,7,39.3,62.1,No
EMP0254,Operations,42,1028000,6,41.8,75.0,Yes
EMP0255,Finance,29,883000,5,46.2,68.0,No
EMP0256,Sales,25,910000,8,44.1,75.6,No
EMP0257,Sales,31,870000,6,40.1,72.9,Yes
EMP0258,Finance,40,966000,5,45.8,80.2,No
EMP0259,Sales,28,710000,8,38.9,72.2,Yes
EMP0260,HR,30,887000,7,42.5,93.2,Yes
EMP0261,Operations,46,901000,7,50.7,82.3,Yes
EMP0262,Finance,21,833000,9,42.3,76.4,No
EMP0263,Sales,30,793000,9,42.7,64.9,No
EMP0264,Operations,28,813000,10,43.0,88.5,Yes
EMP0265,Marketing,47,997000,10,40.2,78.4,Yes
EMP0266,Sales,45,1128000,7,47.8,88.6,Yes
EMP0267,Finance,44,1193000,6,44.0,78.3,Yes
EMP0268,Sales,51,1111000,11,43.2,84.7,Yes
EMP0269,IT,31,1173000,9,35.3,93.6,Yes
EMP0270,Sales,44,885000,7,42.3,75.6,Yes
EMP0271,Finance,25,992000,4,48.2,61.4,No
EMP0272,Finance,39,991000,8,46.4,70.0,Yes
EMP0273,Marketing,34,779000,10,47.6,74.7,No
EMP0274,Sales,25,760000,2,54.5,70.9,No
EMP0275,Operations,40,748000,4,36.0,51.1,No
EMP0276,Marketing,33,931000,4,44.7,65.7,Yes
EMP0277,Marketing,30,815000,7,40.8,69.6,No
EMP0278,Finance,31,1010000,7,43.0,85.8,Yes
EMP0279,IT,46,1112000,3,40.8,70.4,Yes
EMP0280,IT,24,1004000,5,42.6,62.9,No
EMP0281,Finance,41,1193000,7,53.9,86.9,Yes
EMP0282,Sales,38,1008000,7,36.6,77.6,Yes
EMP0283,Operations,40,1081000,5,52.2,75.2,No
EMP0284,Operations,34,751000,7,48.4,72.2,Yes
EMP0285,Operations,21,709000,4,48.8,57.6,No
EMP0286,Operations,42,1035000,5,41.6,66.8,No
EMP0287,Operations,21,770000,6,40.1,53.8,No
EMP0288,IT,27,973000,8,47.0,63.3,No
EMP0289,Operations,28,1018000,4,46.3,78.8,No
EMP0290,HR,31,848000,5,42.1,56.7,No
EMP0291,Finance,35,1140000,7,42.1,78.5,No
EMP0292,Finance,43,1074000,7,51.7,68.3,Yes
EMP0293,Operations,28,803000,6,43.9,66.7,Yes
EMP0294,Sales,30,843000,9,43.5,78.6,Yes
EMP0295,Sales,34,834000,10,45.5,83.0,Yes
EMP0296,IT,21,774000,3,41.8,61.5,Yes
EMP0297,HR,26,886000,4,43.7,62.2,No
EMP0298,Sales,28,1003000,8,39.0,68.0,No
EMP0299,Operations,32,812000,4,41.5,66.8,No
EMP0300,Finance,28,810000,2,49.1,62.7,No
EMP0301,Operations,30,727000,9,42.4,71.5,No
EMP0302,Marketing,32,827000,2,44.1,52.2,No
EMP0303,Operations,21,858000,4,47.4,63.7,No
EMP0304,Sales,53,1327000,4,36.9,67.9,Yes
EMP0305,Operations,46,1004000,7,42.1,70.8,No
EMP0306,IT,45,1162000,4,37.7,76.7,No
EMP0307,Sales,41,987000,12,42.1,74.9,Yes
EMP0308,Finance,33,995000,9,46.6,87.6,Yes
EMP0309,HR,37,808000,5,46.0,74.7,No
EMP0310,Marketing,32,930000,7,46.2,80.1,No
EMP0311,Operations,35,983000,7,48.5,79.0,No
EMP0312,IT,21,823000,9,43.4,84.0,Yes
EMP0313,IT,40,1118000,10,45.3,88.3,Yes
EMP0314,Finance,39,1071000,11,42.9,90.3,Yes
EMP0315,Operations,36,908000,7,41.0,74.2,No
EMP0316,Operations,34,950000,8,47.5,71.8,No
EMP0317,Marketing,31,914000,7,48.0,77.2,No
EMP0318,IT,37,1092000,5,49.3,84.2,Yes
EMP0319,IT,32,1038000,8,36.8,71.3,Yes
EMP0320,IT,33,1025000,9,41.1,73.9,Yes
EMP0321,Operations,28,882000,7,47.1,72.2,No
EMP0322,Sales,34,909000,4,45.7,79.8,Yes
EMP0323,HR,29,722000,4,48.1,73.3,Yes
EMP0324,HR,41,788000,8,46.8,73.0,No
EMP0325,HR,25,609000,5,40.6,63.8,No
EMP0326,Sales,38,825000,8,51.2,80.6,Yes
EMP0327,Operations,31,879000,9,52.9,81.4,No
EMP0328,Sales,27,843000,3,43.5,66.0,No
EMP0329,Marketing,30,989000,5,40.8,78.4,No
EMP0330,Marketing,35,988000,3,44.6,69.1,No
EMP0331,Marketing,21,831000,10,43.2,66.3,No
EMP0332,Finance,32,968000,5,48.5,80.1,Yes
EMP0333,Finance,35,910000,5,41.9,69.1,No
EMP0334,HR,23,819000,6,40.8,70.0,No
EMP0335,IT,32,1067000,6,48.4,79.6,No
EMP0336,IT,40,1058000,4,55.9,71.4,Yes
EMP0337,Sales,44,1182000,8,47.3,94.6,Yes
EMP0338,Operations,31,896000,2,36.9,62.4,No
EMP0339,Finance,28,965000,10,47.7,76.8,Yes
EMP0340,Finance,39,1054000,4,43.6,79.3,Yes
EMP0341,Operations,33,1019000,5,45.9,72.1,No
EMP0342,HR,37,857000,7,45.2,75.4,No
EMP0343,Operations,34,1017000,7,38.4,64.0,No
EMP0344,Sales,24,949000,4,43.4,75.7,No
EMP0345,IT,47,1072000,13,47.1,80.4,Yes
EMP0346,Operations,28,826000,9,38.8,77.0,No
EMP0347,HR,29,808000,5,31.5,53.2,No
EMP0348,HR,28,711000,0,41.6,54.3,No
EMP0349,Finance,47,1231000,4,41.2,68.3,No
EMP0350,IT,31,1157000,4,48.2,75.8,No
EMP0351,Sales,32,1012000,6,42.8,77.3,No
EMP0352,IT,30,890000,8,42.5,81.3,Yes
EMP0353,Sales,29,990000,7,51.0,89.1,Yes
EMP0354,HR,34,847000,2,40.3,50.3,No
EMP0355,Marketing,39,957000,5,36.0,52.3,No
EMP0356,Operations,46,1013000,7,42.5,75.5,Yes
EMP0357,Finance,43,1012000,4,45.8,68.8,No
EMP0358,Sales,44,1026000,8,33.1,74.6,No
EMP0359,Finance,28,1041000,4,41.6,76.6,Yes
EMP0360,Operations,31,790000,8,41.3,72.2,Yes
EMP0361,Sales,29,954000,5,50.0,76.9,No
EMP0362,Finance,35,982000,11,47.1,86.7,Yes
EMP0363,IT,21,987000,1,42.4,60.2,No
EMP0364,Sales,34,854000,7,38.6,81.2,No
EMP0365,Finance,36,1012000,9,34.5,77.7,Yes
EMP0366,Operations,52,1162000,11,44.5,89.5,No
EMP0367,HR,27,755000,8,41.9,72.2,No
EMP0368,Finance,28,1004000,8,44.5,70.0,No
EMP0369,HR,21,780000,5,49.9,69.1,No
EMP0370,Marketing,28,909000,8,36.2,73.0,No
EMP0371,Operations,21,838000,10,43.2,58.4,No
EMP0372,Finance,42,1036000,4,36.0,62.5,No
EMP0373,Sales,45,919000,5,45.8,72.8,No
EMP0374,Marketing,37,927000,8,54.0,82.5,Yes
EMP0375,Sales,34,964000,1,45.2,62.4,No
EMP0376,Finance,32,957000,7,46.6,81.8,Yes
EMP0377,HR,31,729000,4,43.8,73.5,No
EMP0378,IT,30,974000,8,42.7,89.0,Yes
EMP0379,HR,26,781000,7,43.9,72.4,No
EMP0380,Finance,44,1203000,8,42.1,74.7,No
EMP0381,Marketing,22,898000,10,50.1,81.6,Yes
EMP0382,Sales,29,800000,6,33.4,60.0,Yes
EMP0383,IT,42,1040000,2,37.9,63.8,No
EMP0384,IT,31,1060000,8,47.4,78.3,Yes
EMP0385,Sales,39,907000,10,36.3,69.5,No
EMP0386,HR,26,804000,7,49.1,71.4,No
EMP0387,Marketing,37,888000,5,34.0,58.2,No
EMP0388,Operations,39,996000,6,44.6,75.5,Yes
EMP0389,Sales,44,1027000,11,46.3,100.0,Yes
EMP0390,IT,29,995000,7,45.2,70.1,No
EMP0391,Marketing,32,910000,3,46.7,74.8,No
EMP0392,IT,32,1034000,5,41.3,72.5,No
EMP0393,Finance,34,1227000,9,44.2,76.8,Yes
EMP0394,Operations,43,941000,6,40.2,64.0,Yes
EMP0395,Sales,28,927000,5,40.5,66.1,No
EMP0396,HR,42,890000,9,52.4,78.3,No
EMP0397,IT,36,1038000,6,42.8,72.8,No
EMP0398,HR,38,887000,1,39.6,56.4,No
EMP0399,Marketing,46,1042000,4,52.6,80.9,Yes
EMP0400,Marketing,34,940000,7,41.6,82.9,Yes
EMP0401,Sales,33,831000,10,45.0,88.8,No
EMP0402,Marketing,31,906000,6,49.5,63.1,No
EMP0403,Marketing,30,1098000,10,41.8,74.8,Yes
EMP0404,Sales,28,813000,9,44.8,76.2,Yes
EMP0405,Operations,34,939000,2,37.0,68.4,No
EMP0406,Operations,41,819000,5,45.3,74.8,No
EMP0407,Marketing,25,838000,5,42.2,64.5,No
EMP0408,Sales,30,873000,10,52.1,98.1,Yes
EMP0409,Finance,40,1051000,7,48.7,78.6,No
EMP0410,IT,36,1103000,8,48.6,76.5,Yes
EMP0411,Sales,28,919000,7,45.2,75.9,No
EMP0412,Sales,34,798000,6,43.6,83.2,No
EMP0413,Operations,46,848000,6,50.2,77.9,No
EMP0414,Operations,22,922000,1,37.9,56.3,No
EMP0415,IT,44,1220000,9,48.4,81.6,Yes
EMP0416,Marketing,36,937000,7,43.8,76.3,No
EMP0417,Finance,25,960000,9,45.1,70.1,Yes
EMP0418,Marketing,35,961000,9,35.4,64.6,No
EMP0419,IT,44,881000,6,44.4,85.2,Yes
EMP0420,IT,32,1158000,8,32.6,71.4,No
EMP0421,Finance,22,937000,8,41.1,67.0,No
EMP0422,HR,23,855000,3,42.5,57.0,No
EMP0423,Operations,40,1044000,7,45.9,79.0,No
EMP0424,HR,46,988000,4,41.6,66.0,No
EMP0425,Sales,33,902000,10,53.0,90.5,Yes
EMP0426,Sales,37,836000,7,46.4,77.6,Yes
EMP0427,Finance,33,952000,8,46.1,66.1,No
EMP0428,Finance,54,1144000,12,52.2,91.7,Yes
EMP0429,Sales,33,666000,8,54.5,84.7,No
EMP0430,HR,31,634000,5,39.3,74.8,No
EMP0431,HR,33,1094000,5,46.3,68.9,No
EMP0432,HR,30,810000,5,43.5,68.3,No
EMP0433,Sales,24,937000,8,40.6,70.7,No
EMP0434,Sales,32,965000,2,38.9,66.9,No
EMP0435,Operations,25,866000,5,41.9,57.2,No
EMP0436,IT,32,1162000,5,34.6,66.1,Yes
EMP0437,Finance,35,1005000,8,46.9,84.2,Yes
EMP0438,Sales,34,983000,2,43.8,69.7,No
EMP0439,Marketing,21,807000,4,50.0,67.0,No
EMP0440,Sales,27,1149000,8,47.4,79.6,Yes
EMP0441,HR,47,1175000,5,45.1,79.0,Yes
EMP0442,Sales,40,1089000,6,45.4,72.7,Yes
EMP0443,HR,21,682000,3,42.0,64.0,No
EMP0444,Sales,45,1054000,6,43.9,74.9,No
EMP0445,HR,38,903000,8,40.1,73.3,Yes
EMP0446,Marketing,38,821000,4,38.9,60.8,No
EMP0447,Marketing,26,930000,8,50.6,81.7,Yes
EMP0448,Operations,40,999000,5,49.5,76.9,No
EMP0449,Marketing,25,842000,7,46.6,80.2,Yes
EMP0450,IT,28,1101000,11,43.5,76.2,No
EMP0451,IT,43,1139000,7,44.2,77.7,Yes
EMP0452,Operations,26,844000,9,40.1,57.2,No
EMP0453,Operations,26,784000,1,49.2,53.8,No
EMP0454,Sales,36,943000,5,47.5,76.1,Yes
EMP0455,Sales,31,917000,7,47.1,72.8,No
EMP0456,Sales,21,994000,10,44.0,69.3,No
EMP0457,IT,32,891000,11,57.1,84.2,Yes
EMP0458,IT,37,978000,9,47.4,91.9,Yes
EMP0459,Marketing,38,866000,7,49.7,83.0,Yes
EMP0460,Sales,30,939000,2,42.9,53.9,No
EMP0461,Finance,27,984000,8,59.2,85.0,Yes
EMP0462,Sales,38,1018000,7,50.2,79.8,Yes
EMP0463,Finance,36,919000,3,37.3,58.3,No
EMP0464,Sales,29,1006000,7,49.6,75.2,No
EMP0465,IT,36,1106000,4,38.3,64.9,No
EMP0466,Sales,25,999000,12,43.9,76.9,Yes
EMP0467,IT,29,1140000,5,36.6,70.6,No
EMP0468,Operations,21,687000,4,38.1,46.8,No
EMP0469,Operations,31,745000,2,40.6,61.8,No
EMP0470,Finance,40,1164000,8,49.4,87.4,Yes
EMP0471,Finance,40,1055000,6,45.1,70.8,No
EMP0472,Finance,21,945000,8,46.4,75.2,No
EMP0473,IT,40,1078000,7,41.0,70.3,No
EMP0474,Operations,39,950000,9,42.8,76.6,No
EMP0475,Operations,45,1053000,8,41.8,80.2,Yes
EMP0476,Finance,39,1057000,12,40.1,89.6,Yes
EMP0477,Operations,40,977000,4,47.8,89.4,Yes
EMP0478,Finance,26,1016000,4,36.4,58.4,No
EMP0479,Operations,39,944000,6,46.6,83.1,Yes
EMP0480,Operations,21,647000,5,39.2,53.9,No
EMP0481,Sales,35,954000,9,50.4,94.6,Yes
EMP0482,Sales,27,916000,14,49.2,91.7,No
EMP0483,Finance,41,973000,4,43.1,86.6,No
EMP0484,Operations,40,892000,6,42.8,73.6,No
EMP0485,IT,37,1056000,5,45.1,79.1,Yes
EMP0486,Operations,28,760000,4,51.3,68.6,No
EMP0487,Operations,33,807000,7,48.7,78.9,Yes
EMP0488,HR,30,777000,4,38.6,57.8,No
EMP0489,IT,33,1005000,7,42.5,78.1,Yes
EMP0490,IT,37,1083000,6,39.3,65.0,No
EMP0491,IT,41,955000,2,39.2,70.1,No
EMP0492,Marketing,39,916000,5,42.8,73.3,Yes
EMP0493,Operations,21,777000,3,37.3,49.9,No
EMP0494,Sales,33,867000,4,46.9,75.2,Yes
EMP0495,HR,31,891000,5,41.7,71.0,Yes
EMP0496,Sales,30,1032000,5,47.8,72.0,No
EMP0497,Finance,27,878000,4,37.0,64.3,No
